model,quarter,year,q,q_idx,n_loans,predicted_default_rate,actual_default_rate,rate_error_pp,calibration_error_pp,auc_roc,breaches_failure_threshold
MODEL A (2012-2016),2018Q1,2018,1,8072,107602,0.1773,0.1335,4.39,4.39,0.676,True
MODEL A (2012-2016),2018Q2,2018,2,8073,130446,0.1801,0.13,5.01,5.01,0.6782,True
MODEL A (2012-2016),2018Q3,2018,3,8074,127887,0.1782,0.1059,7.23,7.23,0.6754,True
MODEL A (2012-2016),2018Q4,2018,4,8075,128175,0.1793,0.0925,8.68,8.68,0.6666,True
MODEL A (2012-2016),2019Q1,2019,1,8076,115418,0.1759,0.074,10.18,10.18,0.6585,True
MODEL A (2012-2016),2019Q2,2019,2,8077,43852,0.1801,0.0666,11.35,11.35,0.6571,True
MODEL B (2012-2017),2018Q1,2018,1,8072,107602,0.1592,0.1335,2.58,2.58,0.6825,False
MODEL B (2012-2017),2018Q2,2018,2,8073,130446,0.1618,0.13,3.18,3.18,0.684,False
MODEL B (2012-2017),2018Q3,2018,3,8074,127887,0.1616,0.1059,5.57,5.57,0.6832,True
MODEL B (2012-2017),2018Q4,2018,4,8075,128175,0.1617,0.0925,6.92,6.92,0.6765,True
MODEL B (2012-2017),2019Q1,2019,1,8076,115418,0.1577,0.074,8.37,8.37,0.6699,True
MODEL B (2012-2017),2019Q2,2019,2,8077,43852,0.1607,0.0666,9.4,9.4,0.6686,True
