quarter,year,q,q_idx,alpha_t,tau_t,alpha_next,n_total,n_confident,n_abstained,n_empty,coverage_rate,miscoverage_rate,abstention_rate,empty_set_rate,default_rate_full,default_rate_confident,default_rate_abstained,cal_err_full_pp,cal_err_retained_pp,config
2018Q1,2018,1,8072,0.1,0.7817,0.1,107602,80286,27316,0,0.924,0.076,0.2539,0.0,0.1335,0.1019,0.2263,3.05,1.05,vanilla_modelA
2018Q2,2018,2,8073,0.1,0.7817,0.1,130446,96385,34061,0,0.9277,0.0723,0.2611,0.0,0.13,0.0978,0.2211,3.39,1.22,vanilla_modelA
2018Q3,2018,3,8074,0.1,0.7817,0.1,127887,95518,32369,0,0.9403,0.0597,0.2531,0.0,0.1059,0.08,0.1825,5.52,2.93,vanilla_modelA
2018Q4,2018,4,8075,0.1,0.7817,0.1,128175,95843,32332,0,0.9469,0.0531,0.2522,0.0,0.0925,0.071,0.1562,6.94,4.05,vanilla_modelA
2019Q1,2019,1,8076,0.1,0.7817,0.1,115418,86947,28471,0,0.9561,0.0439,0.2467,0.0,0.074,0.0583,0.1222,8.51,5.26,vanilla_modelA
2019Q2,2019,2,8077,0.1,0.7817,0.1,43852,32376,11476,0,0.9614,0.0386,0.2617,0.0,0.0666,0.0522,0.1072,9.7,6.05,vanilla_modelA
2018Q1,2018,1,8072,0.1,0.7817,0.1012,107602,80286,27316,0,0.924,0.076,0.2539,0.0,0.1335,0.1019,0.2263,3.05,1.05,aci_modelA
2018Q2,2018,2,8073,0.1012,0.7797,0.1025,130446,96947,33499,0,0.9268,0.0732,0.2568,0.0,0.13,0.0985,0.2211,3.39,1.21,aci_modelA
2018Q3,2018,3,8074,0.1025,0.7776,0.1045,127887,96666,31221,0,0.939,0.061,0.2441,0.0,0.1059,0.0807,0.184,5.52,2.98,aci_modelA
2018Q4,2018,4,8075,0.1045,0.7739,0.1067,128175,98073,30102,0,0.9449,0.0551,0.2349,0.0,0.0925,0.0721,0.159,6.94,4.19,aci_modelA
2019Q1,2019,1,8076,0.1067,0.7702,0.1094,115418,89921,25497,0,0.9537,0.0463,0.2209,0.0,0.074,0.0595,0.1254,8.51,5.52,aci_modelA
2019Q2,2019,2,8077,0.1094,0.7647,0.1123,43852,34058,9794,0,0.9576,0.0424,0.2233,0.0,0.0666,0.0546,0.1084,9.7,6.37,aci_modelA
2018Q1,2018,1,8072,0.1,0.7769,0.101,107602,84235,23367,0,0.9196,0.0804,0.2172,0.0,0.1335,0.1027,0.2445,1.95,0.92,aci_modelB_layered
2018Q2,2018,2,8073,0.101,0.7752,0.1022,130446,101390,29056,0,0.9238,0.0762,0.2227,0.0,0.13,0.098,0.2416,2.53,1.52,aci_modelB_layered
2018Q3,2018,3,8074,0.1022,0.7733,0.104,127887,100109,27778,0,0.9374,0.0626,0.2172,0.0,0.1059,0.08,0.1992,4.79,3.26,aci_modelB_layered
2018Q4,2018,4,8075,0.104,0.7706,0.1062,128175,102130,26045,0,0.9428,0.0572,0.2032,0.0,0.0925,0.0718,0.1737,6.15,4.42,aci_modelB_layered
2019Q1,2019,1,8076,0.1062,0.7665,0.1088,115418,94567,20851,0,0.9515,0.0485,0.1807,0.0,0.074,0.0592,0.1414,7.59,5.71,aci_modelB_layered
2019Q2,2019,2,8077,0.1088,0.7624,0.1116,43852,35882,7970,0,0.9562,0.0438,0.1817,0.0,0.0666,0.0535,0.1257,8.7,6.62,aci_modelB_layered
